,timestamp,ambient_temperature_[degree_celsius],electricity_price_[cent_per_kilowatt_hour],heat_pump_coefficient_of_performance,heat_pump_maximum_electrical_power_[watt],room_1_maximum_air_temperature_[degree_celsius],room_1_minimum_air_temperature_[degree_celsius],room_2_maximum_air_temperature_[degree_celsius],room_2_minimum_air_temperature_[degree_celsius],room_3_maximum_air_temperature_[degree_celsius],room_3_minimum_air_temperature_[degree_celsius],room_4_maximum_air_temperature_[degree_celsius],room_4_minimum_air_temperature_[degree_celsius],room_5_maximum_air_temperature_[degree_celsius],room_5_minimum_air_temperature_[degree_celsius],solar_radiation_[watt_per_square_meter]
0,2022-06-13 00:00:00+00:00,21.08,0.7,5.65,2094.1,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,8.12
1,2022-06-13 00:15:00+00:00,20.7,0.7,5.68,2075.11,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,4.2
2,2022-06-13 00:30:00+00:00,20.15,0.7,5.74,2048.24,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,4.16
3,2022-06-13 00:45:00+00:00,19.74,0.7,5.78,2028.55,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,6.26
4,2022-06-13 01:00:00+00:00,19.37,0.5,5.81,2011.86,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,6.38
5,2022-06-13 01:15:00+00:00,19.08,0.5,5.84,1998.84,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,6.58
6,2022-06-13 01:30:00+00:00,18.82,0.5,5.87,1987.27,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,6.05
7,2022-06-13 01:45:00+00:00,19.07,0.5,5.84,1998.11,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,7.06
8,2022-06-13 02:00:00+00:00,18.99,0.5,5.85,1994.57,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,8.15
9,2022-06-13 02:15:00+00:00,18.76,0.5,5.87,1984.67,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,5.25
