,timestamp,ambient_temperature_[degree_celsius],electricity_price_[cent_per_kilowatt_hour],heat_pump_coefficient_of_performance,heat_pump_maximum_electrical_power_[watt],room_1_maximum_air_temperature_[degree_celsius],room_1_minimum_air_temperature_[degree_celsius],room_2_maximum_air_temperature_[degree_celsius],room_2_minimum_air_temperature_[degree_celsius],room_3_maximum_air_temperature_[degree_celsius],room_3_minimum_air_temperature_[degree_celsius],room_4_maximum_air_temperature_[degree_celsius],room_4_minimum_air_temperature_[degree_celsius],room_5_maximum_air_temperature_[degree_celsius],room_5_minimum_air_temperature_[degree_celsius],solar_radiation_[watt_per_square_meter]
0,2022-06-06 00:00:00+00:00,17.12,5.8,6.0,1918.12,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,4.65
1,2022-06-06 00:15:00+00:00,16.98,5.8,6.0,1912.85,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,7.95
2,2022-06-06 00:30:00+00:00,16.85,5.8,6.0,1908.14,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,7.71
3,2022-06-06 00:45:00+00:00,17.11,5.8,6.0,1917.61,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,6.35
4,2022-06-06 01:00:00+00:00,17.43,5.7,6.0,1929.88,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,6.36
5,2022-06-06 01:15:00+00:00,17.27,5.7,6.0,1923.71,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,9.76
6,2022-06-06 01:30:00+00:00,16.89,5.7,6.0,1909.5,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,4.72
7,2022-06-06 01:45:00+00:00,16.84,5.7,6.0,1907.77,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,6.05
8,2022-06-06 02:00:00+00:00,16.76,5.4,6.0,1904.59,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,4.74
9,2022-06-06 02:15:00+00:00,16.48,5.4,6.0,1894.46,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,5.94
10,2022-06-06 02:30:00+00:00,16.29,5.4,6.0,1887.73,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,6.35
11,2022-06-06 02:45:00+00:00,16.19,5.4,6.0,1884.24,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,6.69
12,2022-06-06 03:00:00+00:00,16.27,5.2,6.0,1887.27,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,5.99
13,2022-06-06 03:15:00+00:00,16.38,5.2,6.0,1891.14,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,7.31
14,2022-06-06 03:30:00+00:00,16.43,5.2,6.0,1892.68,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,8.81
15,2022-06-06 03:45:00+00:00,16.56,5.2,6.0,1897.32,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,14.57
16,2022-06-06 04:00:00+00:00,16.68,5.2,6.0,1901.67,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,34.72
17,2022-06-06 04:15:00+00:00,16.93,5.2,6.0,1910.86,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,50.07
18,2022-06-06 04:30:00+00:00,16.93,5.2,6.0,1910.99,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,110.31
19,2022-06-06 04:45:00+00:00,17.7,5.2,5.98,1940.76,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,140.29
20,2022-06-06 05:00:00+00:00,17.78,5.3,5.97,1943.96,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,108.13
21,2022-06-06 05:15:00+00:00,17.85,5.3,5.96,1946.63,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,184.74
22,2022-06-06 05:30:00+00:00,18.05,5.3,5.94,1954.76,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,203.36
23,2022-06-06 05:45:00+00:00,17.97,5.3,5.95,1951.49,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,16.0,143.75
