;Timestamp;T_Air_1;T_Air_2;T_Air_3;T_Air_4;T_Air_5;Storage_1;Storage_2;Storage_3;Storage_4;Storage_5;Storage_Combined;Storage_Av;thermalDiscomfort;P_Max;P_elect;Costs;heatingPowerRoom1;heatingPowerRoom2;heatingPowerRoom3;heatingPowerRoom4;heatingPowerRoom5;COP;Electricity Price;Price Factor;Storage Factor;Modulation Degree
0;2023-01-02 00:00:00;22.6;22.6;22.6;22.6;22.6;0.7;0.7;0.7;0.7;0.7;3.5;0.7;0.0;4425.4;3827.5;0.05;2507.7;2507.7;2507.7;2507.7;2507.7;3.28;0.05;0.93;0.3;0.86
1;2023-01-02 00:15:00;23.0;23.0;23.0;23.0;23.0;0.67;0.67;0.67;0.67;0.67;3.36;0.67;0.0;4428.8;3748.5;0.05;2452.2;2452.2;2452.2;2452.2;2452.2;3.27;0.05;0.92;0.33;0.85
2;2023-01-02 00:30:00;23.4;23.4;23.4;23.4;23.4;0.7;0.7;0.7;0.7;0.7;3.5;0.7;0.0;4420.7;3741.7;0.05;2456.9;2456.9;2456.9;2456.9;2456.9;3.28;0.05;0.92;0.3;0.85
3;2023-01-02 00:45:00;23.7;23.7;23.7;23.7;23.7;0.73;0.73;0.73;0.73;0.73;3.64;0.73;0.0;4404.4;3727.9;0.05;2474.7;2474.7;2474.7;2474.7;2474.7;3.32;0.05;0.92;0.27;0.85
4;2023-01-02 01:00:00;23.9;23.9;23.9;23.9;23.9;0.75;0.75;0.75;0.75;0.75;3.75;0.75;0.0;4408.6;3650.7;0.05;2414.9;2414.9;2414.9;2414.9;2414.9;3.31;0.05;0.91;0.25;0.83
5;2023-01-02 01:15:00;23.6;23.6;23.6;23.6;23.6;0.76;0.76;0.76;0.76;0.76;3.82;0.76;0.0;4406.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.31;0.05;0.94;0.24;0.0
6;2023-01-02 01:30:00;23.3;23.3;23.3;23.3;23.3;0.74;0.74;0.74;0.74;0.74;3.71;0.74;0.0;4413.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.3;0.05;0.96;0.26;0.0
7;2023-01-02 01:45:00;23.8;23.8;23.8;23.8;23.8;0.72;0.72;0.72;0.72;0.72;3.61;0.72;0.0;4416.2;4328.3;0.05;2849.0;2849.0;2849.0;2849.0;2849.0;3.29;0.05;0.99;0.28;0.98
8;2023-01-02 02:00:00;23.7;23.7;23.7;23.7;23.7;0.76;0.76;0.76;0.76;0.76;3.79;0.76;0.0;4408.3;1102.1;0.01;729.1;729.1;729.1;729.1;729.1;3.31;0.04;1.0;0.24;0.25
9;2023-01-02 02:15:00;24.1;24.1;24.1;24.1;24.1;0.75;0.75;0.75;0.75;0.75;3.75;0.75;0.0;4403.9;4316.2;0.05;2866.9;2866.9;2866.9;2866.9;2866.9;3.32;0.05;0.99;0.25;0.98
10;2023-01-02 02:30:00;23.8;23.8;23.8;23.8;23.8;0.78;0.78;0.78;0.78;0.78;3.89;0.78;0.0;4399.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.35;0.05;0.98;0.22;0.0
11;2023-01-02 02:45:00;23.6;23.6;23.6;23.6;23.6;0.76;0.76;0.76;0.76;0.76;3.79;0.76;0.0;4402.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.33;0.05;0.96;0.24;0.0
12;2023-01-02 03:00:00;24.0;24.0;24.0;24.0;24.0;0.74;0.74;0.74;0.74;0.74;3.71;0.74;0.0;4406.5;3893.6;0.05;2579.7;2579.7;2579.7;2579.7;2579.7;3.31;0.05;0.94;0.26;0.88
13;2023-01-02 03:15:00;23.9;23.9;23.9;23.9;23.9;0.77;0.77;0.77;0.77;0.77;3.86;0.77;0.0;4407.0;1101.7;0.02;729.7;729.7;729.7;729.7;729.7;3.31;0.05;0.86;0.23;0.25
14;2023-01-02 03:30:00;23.7;23.7;23.7;23.7;23.7;0.76;0.76;0.76;0.76;0.76;3.82;0.76;0.0;4400.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.34;0.06;0.85;0.24;0.0
15;2023-01-02 03:45:00;23.5;23.5;23.5;23.5;23.5;0.75;0.75;0.75;0.75;0.75;3.75;0.75;0.0;4402.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.4;0.06;0.84;0.25;0.0
16;2023-01-02 04:00:00;23.9;23.9;23.9;23.9;23.9;0.74;0.74;0.74;0.74;0.74;3.68;0.74;0.0;4415.1;3041.6;0.05;2110.9;2110.9;2110.9;2110.9;2110.9;3.47;0.07;0.83;0.26;0.69
17;2023-01-02 04:15:00;23.9;23.9;23.9;23.9;23.9;0.76;0.76;0.76;0.76;0.76;3.82;0.76;0.0;4415.8;1104.0;0.02;767.6;767.6;767.6;767.6;767.6;3.48;0.08;0.82;0.24;0.25
18;2023-01-02 04:30:00;23.7;23.7;23.7;23.7;23.7;0.76;0.76;0.76;0.76;0.76;3.82;0.76;0.0;4414.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.46;0.09;0.81;0.24;0.0
19;2023-01-02 04:45:00;23.6;23.6;23.6;23.6;23.6;0.75;0.75;0.75;0.75;0.75;3.75;0.75;0.0;4400.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.38;0.1;0.8;0.25;0.0
20;2023-01-02 05:00:00;23.9;23.9;23.9;23.9;23.9;0.74;0.74;0.74;0.74;0.74;3.71;0.74;0.0;4433.2;2766.8;0.07;1806.6;1806.6;1806.6;1806.6;1806.6;3.26;0.11;0.79;0.26;0.62
21;2023-01-02 05:15:00;23.9;23.9;23.9;23.9;23.9;0.76;0.76;0.76;0.76;0.76;3.82;0.76;0.0;4474.7;1118.7;0.03;720.3;720.3;720.3;720.3;720.3;3.22;0.11;0.78;0.24;0.25
22;2023-01-02 05:30:00;23.7;23.7;23.7;23.7;23.7;0.76;0.76;0.76;0.76;0.76;3.82;0.76;0.0;4477.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.22;0.12;0.77;0.24;0.0
23;2023-01-02 05:45:00;23.6;23.6;23.6;23.6;23.6;0.75;0.75;0.75;0.75;0.75;3.75;0.75;0.0;4508.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.19;0.13;0.66;0.25;0.0
24;2023-01-02 06:00:00;23.8;23.8;23.7;23.7;23.7;0.14;0.14;0.54;0.54;0.54;1.91;0.38;0.0;4517.8;1626.4;0.06;1197.3;1197.3;926.9;926.9;926.9;3.18;0.14;0.6;0.62;0.36
25;2023-01-02 06:15:00;23.9;23.9;23.8;23.8;23.8;0.16;0.16;0.55;0.55;0.55;1.96;0.39;0.0;4515.3;1519.0;0.05;1112.4;1112.4;870.6;870.6;870.6;3.18;0.14;0.58;0.61;0.34
26;2023-01-02 06:30:00;24.0;24.0;23.9;23.9;23.9;0.16;0.16;0.56;0.56;0.56;2.0;0.4;0.0;4512.9;1415.2;0.05;1034.7;1034.7;813.3;813.3;813.3;3.19;0.14;0.56;0.6;0.31
27;2023-01-02 06:45:00;24.1;24.1;23.9;23.9;23.9;0.17;0.17;0.56;0.56;0.56;2.04;0.41;0.0;4534.1;1273.6;0.05;924.1;924.1;729.3;729.3;729.3;3.17;0.14;0.53;0.59;0.28
28;2023-01-02 07:00:00;23.9;23.9;23.8;23.8;23.8;0.18;0.18;0.56;0.56;0.56;2.05;0.41;0.0;4566.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.14;0.15;0.41;0.59;0.0
29;2023-01-02 07:15:00;23.8;23.8;23.6;23.6;23.6;0.16;0.16;0.56;0.56;0.56;2.0;0.4;0.0;4554.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.15;0.15;0.4;0.6;0.0
30;2023-01-02 07:30:00;23.7;23.7;23.6;23.6;23.6;0.16;0.16;0.54;0.54;0.54;1.94;0.39;0.0;4578.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.13;0.15;0.4;0.61;0.0
31;2023-01-02 07:45:00;23.6;23.6;23.5;23.5;23.5;0.15;0.15;0.54;0.54;0.54;1.93;0.39;0.0;4567.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.14;0.15;0.39;0.61;0.0
32;2023-01-02 08:00:00;23.5;23.5;23.4;23.4;23.4;0.71;0.71;0.55;0.55;0.55;3.08;0.62;0.0;4554.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.15;0.15;0.35;0.38;0.0
33;2023-01-02 08:15:00;23.5;23.5;23.4;23.4;23.4;0.64;0.64;0.53;0.53;0.53;2.87;0.57;0.0;4548.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.16;0.15;0.39;0.43;0.0
34;2023-01-02 08:30:00;23.5;23.5;23.4;23.4;23.4;0.64;0.64;0.53;0.53;0.53;2.87;0.57;0.0;4506.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.19;0.15;0.4;0.43;0.0
