;Timestamp;T_Air_1;T_Air_2;T_Air_3;T_Air_4;T_Air_5;Storage_1;Storage_2;Storage_3;Storage_4;Storage_5;Storage_Combined;Storage_Av;thermalDiscomfort;P_Max;P_elect;Costs;heatingPowerRoom1;heatingPowerRoom2;heatingPowerRoom3;heatingPowerRoom4;heatingPowerRoom5;COP;Electricity Price;Price Factor;Storage Factor;Modulation Degree
0;2023-01-09 00:00:00;22.8;22.8;22.8;22.8;22.8;0.7;0.7;0.7;0.7;0.7;3.5;0.7;0.0;4541.7;3281.4;0.05;2075.8;2075.8;2075.8;2075.8;2075.8;3.16;0.06;0.85;0.3;0.72
1;2023-01-09 00:15:00;23.4;23.4;23.4;23.4;23.4;0.69;0.69;0.69;0.69;0.69;3.43;0.69;0.0;4541.0;3358.5;0.05;2124.9;2124.9;2124.9;2124.9;2124.9;3.16;0.06;0.86;0.31;0.74
2;2023-01-09 00:30:00;23.8;23.8;23.8;23.8;23.8;0.73;0.73;0.73;0.73;0.73;3.64;0.73;0.0;4521.5;3501.5;0.05;2226.3;2226.3;2226.3;2226.3;2226.3;3.18;0.06;0.88;0.27;0.77
3;2023-01-09 00:45:00;23.3;23.3;23.3;23.3;23.3;0.76;0.76;0.76;0.76;0.76;3.79;0.76;0.0;4506.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.19;0.06;0.89;0.24;0.0
4;2023-01-09 01:00:00;22.9;22.9;22.9;22.9;22.9;0.72;0.72;0.72;0.72;0.72;3.61;0.72;0.0;4493.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.2;0.06;0.9;0.28;0.0
5;2023-01-09 01:15:00;23.8;23.8;23.8;23.8;23.8;0.69;0.69;0.69;0.69;0.69;3.46;0.69;0.0;4482.6;3794.1;0.05;2437.5;2437.5;2437.5;2437.5;2437.5;3.21;0.06;0.92;0.31;0.85
6;2023-01-09 01:30:00;23.6;23.6;23.6;23.6;23.6;0.76;0.76;0.76;0.76;0.76;3.79;0.76;0.0;4463.9;1116.0;0.01;720.9;720.9;720.9;720.9;720.9;3.23;0.05;0.94;0.24;0.25
7;2023-01-09 01:45:00;24.4;24.4;24.4;24.4;24.4;0.74;0.74;0.74;0.74;0.74;3.71;0.74;0.0;4459.8;4196.2;0.05;2714.2;2714.2;2714.2;2714.2;2714.2;3.23;0.04;0.97;0.26;0.94
8;2023-01-09 02:00:00;23.8;23.8;23.8;23.8;23.8;0.8;0.8;0.8;0.8;0.8;4.0;0.8;0.0;4457.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.24;0.04;1.0;0.2;0.0
9;2023-01-09 02:15:00;23.5;23.5;23.5;23.5;23.5;0.76;0.76;0.76;0.76;0.76;3.79;0.76;0.0;4453.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.24;0.04;0.99;0.24;0.0
10;2023-01-09 02:30:00;24.5;24.5;24.5;24.5;24.5;0.74;0.74;0.74;0.74;0.74;3.68;0.74;0.0;4455.7;4279.3;0.05;2771.6;2771.6;2771.6;2771.6;2771.6;3.24;0.04;0.98;0.26;0.96
